Strategy,Original_Sharpe,CI_Lower_95,CI_Upper_95,CI_Width
S&P 500 (VOO),0.787,0.3477,1.3708,1.0231
10Y Treasury,-0.0341,-0.5504,0.467,1.0174
VIX Strategy,0.9554,0.4776,1.4966,1.019
