Lookback_Days,Lookback_Label,Percentile_Cutoff,Percentile_Label,Annual_Return_Pct,Annual_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct,Pct_Time_Bonds
63,3mo,0.5,50%,9.646010912119408,10.319891573937385,0.7409003144402414,-20.03940237996498,44.39438112907501
63,3mo,0.55,55%,11.165417408768775,10.545346057175006,0.8691433509223403,-21.027964124492378,40.86933474688577
63,3mo,0.6,60%,12.244080675225355,10.938919197874391,0.9364801485338649,-24.610489706822914,36.99973495891864
63,3mo,0.65,65%,12.159141251009853,11.236728153341858,0.9041013640601846,-23.749702444884065,33.55420090113967
63,3mo,0.7,70%,12.34814741560848,11.711087153491224,0.8836197083994516,-23.869835133167857,30.08216273522396
63,3mo,0.75,75%,11.18168643206805,12.05679993722926,0.7615359365561529,-27.064924152710006,26.34508348794063
63,3mo,0.8,80%,11.374909147266376,12.612818237707435,0.743284250243061,-31.81561379867912,22.263450834879407
63,3mo,0.85,85%,11.97711564971251,13.023852268572906,0.7660648665209221,-27.025047561704497,18.287834614365224
63,3mo,0.9,90%,11.789801960331857,13.589748187353976,0.7203814099691574,-28.289941500169967,13.729128014842301
63,3mo,0.95,95%,12.838537768000124,14.612547007750463,0.7417281711567044,-29.860049867279947,8.825868009541479
126,6mo,0.5,50%,7.55854993675924,9.927248438666755,0.5599285613834967,-21.082810793621267,42.88409703504043
126,6mo,0.55,55%,8.634901132954687,10.289351552373086,0.6448318049182065,-21.251179677589384,38.89487870619946
126,6mo,0.6,60%,8.080072252983662,10.718897176732916,0.5672292730059424,-23.385624277903254,34.60916442048518
126,6mo,0.65,65%,7.962761702269305,11.097324545689485,0.5373152490692371,-30.446973453081355,30.997304582210244
126,6mo,0.7,70%,9.35457340822805,11.493107303891662,0.6399116630310874,-23.625907535734402,27.250673854447438
126,6mo,0.75,75%,9.811402658544566,11.917912587547553,0.6554337935576335,-27.593696608983336,23.369272237196764
126,6mo,0.8,80%,11.295474780206206,12.300010628138262,0.7557290039198262,-27.145197801256053,19.649595687331537
126,6mo,0.85,85%,12.140436817769018,13.036010639831344,0.7778788386981718,-30.541306228635435,15.579514824797844
126,6mo,0.9,90%,11.407018155131565,13.70564207105322,0.6863609969064861,-30.397493395222387,11.159029649595688
126,6mo,0.95,95%,12.389201587547682,14.34632130609467,0.7241718183973821,-33.49011003640514,6.576819407008086
189,9mo,0.5,50%,8.605249856477748,9.530392367309064,0.6930721844291454,-23.94352330857909,43.5700575815739
189,9mo,0.55,55%,8.069424427448801,9.817469757229832,0.6182269543513617,-22.819370113505013,39.53934740882917
189,9mo,0.6,60%,8.277620623024307,10.103454417183801,0.6213340867206195,-19.350908556254,36.02961338086098
189,9mo,0.65,65%,7.624267659202966,10.761747587317325,0.5226165744521959,-23.804839746221027,31.23114888949822
189,9mo,0.7,70%,8.188447800954446,11.225505950030868,0.5512845326082989,-25.645363077742754,27.227858513846996
189,9mo,0.75,75%,8.097355221038228,11.847600666478819,0.5146489481444009,-31.577781938205213,22.34713463120373
189,9mo,0.8,80%,11.743531564934774,12.31885906386129,0.7909443167118033,-24.30803748355401,18.837400603235537
189,9mo,0.85,85%,11.498741692683012,12.810504202831364,0.7414807053873501,-28.852189942139518,15.24540718398684
189,9mo,0.9,90%,13.451697695601815,13.65876032621818,0.8384141329151316,-30.642950549547244,10.775980257746093
189,9mo,0.95,95%,13.954367055329886,14.26052415424453,0.8382838474960098,-32.60615573490554,6.498491911159858
252,1yr,0.5,50%,7.329871771972374,9.069731189987964,0.5876548775619718,-22.604055305621962,45.25669642857143
252,1yr,0.55,55%,8.812870940670603,9.48463136929767,0.7183063500732649,-23.659954890497904,41.043526785714285
252,1yr,0.6,60%,8.594172897571696,9.871313769016714,0.668013706368949,-26.995206678320116,36.216517857142854
252,1yr,0.65,65%,8.746901955604702,10.342823717436795,0.6523268828637397,-24.668724652602876,31.752232142857146
252,1yr,0.7,70%,8.997442309078796,10.768015176723575,0.649835851290835,-24.029724862336217,27.176339285714285
252,1yr,0.75,75%,10.176778608656978,11.418425024970714,0.7161038926800632,-27.756357982979168,22.907366071428573
252,1yr,0.8,80%,10.333745869771205,12.037131803567215,0.6923365138613412,-26.55315645515269,18.247767857142858
252,1yr,0.85,85%,12.953087527894635,12.686358345212764,0.8633752279295985,-22.972235441184953,14.453125
252,1yr,0.9,90%,11.718858025148183,13.241284245619985,0.7339815266304726,-31.505213417337398,10.9375
252,1yr,0.95,95%,14.437588126106471,14.21627090936735,0.8748840118058757,-32.168372793209464,5.859375
315,15mo,0.5,50%,6.1312414026265305,9.043763795476753,0.45680553982322875,-26.657475961628492,44.390798068730476
315,15mo,0.55,55%,7.603200239427488,9.199860134991876,0.6090527635431747,-24.55423136348006,40.95427435387674
315,15mo,0.6,60%,8.242463626299834,9.49041129506264,0.6577653414818236,-23.291666085752382,36.665719965918775
315,15mo,0.65,65%,9.4129768990028,10.078975940530228,0.7354890955928627,-26.878654845144386,31.69554103947742
315,15mo,0.7,70%,10.829108503855277,10.521888677588652,0.8391182205397257,-26.16022440109556,27.378585629082647
315,15mo,0.75,75%,10.573246987808638,11.058756701310127,0.7752451038906542,-23.47309094013011,22.72081794944618
315,15mo,0.8,80%,11.218813040391717,11.662728381994853,0.7904508052012854,-24.534309174951012,18.318659471740983
315,15mo,0.85,85%,11.902333781032581,12.157688014399971,0.8144915192184506,-27.957341829437883,15.052541891508096
315,15mo,0.9,90%,14.54944884564262,12.827447679088896,0.9783278138877569,-29.4770956104517,10.820789548423743
