Lookback_Days,Lookback_Label,Percentile_Cutoff,Percentile_Label,Annual_Return_Pct,Annual_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct,Pct_Time_Bonds
315,15mo,0.95,95%,13.910268120475756,13.762487388571667,0.865415370361466,-34.63216957229882,6.106219823913661
378,18mo,0.5,50%,6.286715960287292,8.92662753249038,0.48021673859303166,-23.347230706747347,46.21168305378831
378,18mo,0.55,55%,7.165174162176502,9.295124735186914,0.5556863742369819,-24.569607552414546,41.122035858877965
378,18mo,0.6,60%,7.542312254144723,9.544599567386204,0.5806751991024062,-23.666864459440845,37.07345286292655
378,18mo,0.65,65%,9.423717321041858,9.834616530014015,0.7548557992460208,-19.04087268319871,32.82244071717756
378,18mo,0.7,70%,8.01010248260534,10.439658512656603,0.5756991452660014,-28.001064515101774,28.253325621746672
378,18mo,0.75,75%,10.872995182914401,10.942165300620166,0.8108993914039582,-22.677031457381755,23.597455176402544
378,18mo,0.8,80%,11.374473728030354,11.376243980661814,0.8240394407825449,-23.976841929560678,19.548872180451127
378,18mo,0.85,85%,9.911115051002263,12.106080505321474,0.6534827723576404,-33.14473971897044,15.413533834586465
378,18mo,0.9,90%,13.25224146968993,12.796102595799436,0.8793491131732323,-32.299597803797624,11.133603238866396
378,18mo,0.95,95%,13.201736698199685,13.767368105018607,0.8136440177056299,-35.7686058056251,6.246385193753615
