Date,Stock_Rolling_Vol_Pct,Bond_Rolling_Vol_Pct,Strategy_Rolling_Vol_Pct,Stock_Rolling_Return_Pct,Bond_Rolling_Return_Pct,Strategy_Rolling_Return_Pct,Stock_Sharpe_Unadj,Bond_Sharpe_Unadj,Strategy_Sharpe_Unadj,Stock_Sharpe_TreasuryAdj,Bond_Sharpe_TreasuryAdj,Strategy_Sharpe_TreasuryAdj
2014-10-27,10.88665089699734,4.9459261194062,9.57946702689191,13.734873246572477,4.679524097956711,8.670707031438818,1.2368097754750045,0.9493891322802908,0.9160013355193436,1.234031507666354,0.9432737898750594,0.912843954044337
2014-10-28,10.941632380192482,4.95166287743283,9.643895263207506,14.901396469606997,4.523450635795001,9.785289567095191,1.324449514892055,0.9182080501652842,1.0163660812528985,1.3216870211971958,0.9121037996922757,1.013231850774778
2014-10-29,10.92872116656697,4.962575663619388,9.627829793996828,14.069058479105777,4.035053956865542,8.99001231100851,1.2593241792715861,0.821904103138683,0.9423609833483538,1.2565674995415803,0.815833266912322,0.9392318270629421
2014-10-30,10.926446863402708,4.955495464012424,9.627564252786287,15.437878072445876,4.417314706701658,10.297883755893466,1.3687953917980265,0.8970312119610849,1.06632977816658,1.3660497599963684,0.8909773268944652,1.0632137252169873
2014-10-31,10.97027558985758,4.956921777974726,9.680180084703837,17.180023318221416,4.370344886287625,11.962458131418764,1.5003839253673266,0.8877089457112063,1.2158568732699815,1.4976601148190594,0.8816808190415817,1.2127700554517604
2014-11-03,10.968040211963633,4.923864985424607,9.677209509911469,16.91543347561224,4.913377302776123,11.709649433005342,1.4800439684213054,0.9987503817163702,1.1928304422781046,1.4773304567842531,0.99270596237528,1.189754978765577
2014-11-04,10.969145509899109,4.92075553943622,9.676899990061061,15.973678881005204,4.698086891543873,10.809827463501076,1.4061292656455524,0.9575972416606089,1.1092524331371518,1.4034200068495428,0.9515578735759249,1.1061813820786592
2014-11-05,10.979132468987768,4.898203958339196,9.69006772868272,17.088770858161674,5.201527952419482,11.875268784211436,1.4921610774763912,1.0597329373645028,1.2066708717294807,1.4894633190074966,1.0536860173400926,1.2036142318350396
2014-11-06,10.977101827805676,4.90066551416127,9.68765090278164,17.018681578480187,4.56181542516112,11.808300304264584,1.486958632804727,0.934740911653574,1.200764228745957,1.4842701358594534,0.9287188918591738,1.1977178860331388
2014-11-07,10.893589540378738,4.93403772194922,9.595582634780719,18.63950415511102,4.9546617135446835,13.356954031544067,1.623876549478754,1.004766017508712,1.3547830733856854,1.6211783702423057,0.9988088565049605,1.3517199079451943
2014-11-10,10.817351626734544,4.818153629364654,9.506835697417692,17.384166590229544,5.713419005690845,12.157511707086277,1.536162235284981,1.1772908264880149,1.2546020330018326,1.533458613112476,1.1712208598668636,1.2515257169029055
2014-11-11,10.81706148942274,4.817630423104336,9.506730932271221,17.51878937356899,5.775809994588799,12.286140267794487,1.5468037766050444,1.1896632531752562,1.266677261406161,1.5441136554171542,1.183623104025613,1.2636163557688056
2014-11-12,10.81527062872812,4.816716589092245,9.504886763964763,17.63471918571222,5.82952163257402,12.396908181733268,1.5561647857687122,1.2004217732488118,1.2772831429848286,1.5534907301786742,1.1944175514210178,1.2742404307883857
2014-11-13,10.792168068020423,4.802622129426761,9.477249929557546,16.840688198770557,5.562544946592363,11.638232269124327,1.4964687058593327,1.1511987091760787,1.209235823256213,1.493812826318511,1.1452305739365107,1.2062114545220333
2014-11-14,10.780846691995746,4.78403206035636,9.463330075884086,16.237054227119053,5.275606818009848,11.061475742167492,1.4498522201822364,1.0985799327897638,1.156117641750831,1.4472174770435968,1.0926425223602132,1.1531160808179781
2014-11-17,10.774441469847378,4.784910543475592,9.455283857150459,15.798605542752764,5.237942150900654,10.642549451866046,1.4155538498226181,1.0909070159085725,1.11703578660413,1.412939638525529,1.0850204551558944,1.1140568525989916
2014-11-18,10.778040660258737,4.774192781664011,9.46125322902616,16.89801697129547,4.987384710472309,11.693008417069905,1.50284354198752,1.0433103689944891,1.2163079099130831,1.5002486126490975,1.0374521527055631,1.2133518264806882
2014-11-19,10.77770468985462,4.76669307958973,9.460898783995868,16.914792365131916,5.098167215861493,11.709036868651324,1.5042192918961341,1.067006519359382,1.2178673420474742,1.5016482140817708,1.0611931982675549,1.2149384112925314
2014-11-20,10.771516776790614,4.734887351415634,9.454832466699227,17.498430860920976,5.870785894376973,12.266688239578126,1.5512809732708677,1.2285806529715777,1.2712797831208849,1.5487312594059348,1.2227802434509736,1.2683749949325303
2014-11-21,10.759051558781964,4.737740374889412,9.440192785109954,17.241549698753733,5.988385299984911,12.021244984410039,1.532599102859332,1.2513070318626884,1.2499110318831874,1.5300711465142407,1.245566233401181,1.2470299029407694
2014-11-24,10.751571002480183,4.731290154330527,9.431168752315624,16.948623789609883,5.806629122826257,11.741361912966441,1.5103087077817778,1.2166640075668658,1.2244802260749403,1.5078011377327227,1.2109657061423729,1.2216215859494002
2014-11-25,10.751274254115108,4.736267904428206,9.430887452655709,16.98228755436326,5.984425240893865,11.773526762784758,1.513026143543602,1.2508923602566115,1.2275671212924724,1.5105340063207575,1.245235237116124,1.2247260683272878
2014-11-26,10.751967242586625,4.734619178079642,9.432231985161847,17.309903388901148,5.936014433945491,12.086555153793576,1.5389629820071078,1.2416595894532676,1.2570691568393257,1.5364924116066727,1.2360491082261895,1.2542529101590312
2014-11-28,10.753622356027485,4.741963414419042,9.433153616213989,16.739897791575984,6.586986914799686,11.541929662024476,1.4934187314381793,1.3690311596323839,1.2052967500039022,1.490969944191471,1.363477904370801,1.2025051773917383
2014-12-01,10.777620908171011,4.748958540159474,9.459436908028735,16.109230679671406,6.388379689643919,10.93934367414029,1.4400404228122818,1.3278010687058641,1.1449199580714242,1.4376147615911583,1.322296102328111,1.142156278018679
2014-12-02,10.790353125503776,4.750426843481294,9.475493720278745,17.024958139932743,6.372312033530192,11.814297395141882,1.5113175411300557,1.3242250548580752,1.226082633277929,1.5089076136793698,1.318751027142981,1.2233382941471784
2014-12-03,10.785510289162682,4.747958443334154,9.471499963148892,17.930930424820968,6.223528720135185,12.679930300330478,1.5834972084694958,1.295401993518574,1.3080202525066351,1.5810972366660594,1.2899501933630775,1.3052873252321406
2014-12-04,10.785255365948963,4.73474815243768,9.471240497605443,17.94937830738954,7.083107830572488,12.697556771303908,1.5849833664081747,1.4691502674762986,1.3097058087835751,1.5825976872750742,1.4637159428103794,1.3069891468343604
2014-12-05,10.776313883587473,4.762955456129898,9.46216566265733,18.613945893536844,6.750112639004469,13.332533778753831,1.6383828986417117,1.3953224925971675,1.370280037163305,1.6360092330919982,1.389952010917468,1.3675767062420006
2014-12-08,10.749213295609604,4.772411052264389,9.427691944328657,16.48452709495407,7.009822833504575,11.29792961731646,1.4736067789036182,1.443581563741274,1.1827074945533433,1.471244479786572,1.438260803060965,1.1800140615023793
2014-12-09,10.748846394903664,4.783824226574159,9.426662532136426,16.126222092761488,7.277733192729596,10.955578526488052,1.444974594071948,1.492534683612861,1.1501311580703149,1.4426210746288672,1.4872465254818479,1.1474475339462038
2014-12-10,10.864408704188481,4.786947678139494,9.555827738618099,14.698083307427678,7.316836383938119,9.591029139733509,1.316796123717054,1.4992070999671727,1.0063282710609356,1.3144840745078656,1.493959696142909,1.0036996084018854
2014-12-11,10.805931983737919,4.773044325651254,9.485343146546157,16.55626786544071,7.549718120571214,10.661480303170933,1.472144275127966,1.5488633748479164,1.115614160460012,1.4698366067202184,1.5436389297864843,1.112985208879676
2014-12-12,10.929896821049962,4.827339146270269,9.509726361572318,15.043284481429708,8.744131092222585,11.9375920927699,1.3370757258073847,1.7608388451074912,1.233615723854703,1.3348116576222526,1.7557126190625625,1.2310135426016955
2014-12-15,10.955456926544633,4.842310239281974,9.518302328417588,14.278938832609334,8.186405582092405,11.563820438148742,1.2733293755017514,1.649320694888859,1.197434081218035,1.2710887004546103,1.6442512925266972,1.194855089910725
2014-12-16,10.97083747842342,4.864815397508127,9.511025914865188,12.679950444954645,8.788302870750764,11.418749361597413,1.1431934531546062,1.7559964646290123,1.1845911024451894,1.1409660472791432,1.7509733536039354,1.182021820426938
2014-12-17,11.138067552674249,4.910015716702908,9.53115755983803,15.359381818202866,7.694556089021387,11.041544529120252,1.3387693793801376,1.5344169106601562,1.146694446943151,1.336590736377929,1.529474793499673,1.1441484945990195
2014-12-18,11.150193479903454,4.9291163110672604,9.396612707262545,15.448037069166286,7.492082326133653,8.525342199493124,1.3443258759826338,1.4904723594164884,0.9177625255356003,1.3421592113303322,1.4855711299557461,0.9151915214055104
2014-12-19,11.156404967152776,4.920257122080089,9.405469928237787,16.08539292782507,8.340749949564374,9.124479823828446,1.3930175387337067,1.6529482641524993,0.975542237752803,1.3908638182675603,1.6480648247081355,0.9729875777634877
2014-12-22,11.154117422849405,4.9124724952568215,9.402590294628231,16.014254409966778,8.006378428314287,9.057607036814264,1.3877814374497595,1.5925474392383459,0.9692906122073919,1.3856415059211025,1.587688572838474,0.9667520513640957
