Lookback_Days,Lookback_Label,Percentile_Cutoff,Percentile_Label,Annual_Return_Pct,Annual_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct
63,3mo,0.5,50%,7.506983929907363,11.429373194345485,0.517364536119793,-28.62865513038463
63,3mo,0.55,55%,8.416704699369593,11.892901834098037,0.5727030699955677,-36.04461973913758
63,3mo,0.6,60%,8.524191939884162,12.228147940152741,0.5684149652579753,-44.69217055400138
63,3mo,0.65,65%,8.641953120638778,12.574803854419306,0.5647987225208144,-44.727597034087744
63,3mo,0.7,70%,8.551908569447209,13.10372214490855,0.5408102150317301,-48.384618030128784
63,3mo,0.75,75%,7.558817442271248,13.513736496742105,0.4604428489868178,-50.47407835026117
63,3mo,0.8,80%,7.209157109514619,14.023082593216687,0.42552455701675346,-58.23539413146498
63,3mo,0.85,85%,8.202856010874138,14.44931987445095,0.4810106963369281,-55.59703764391385
63,3mo,0.9,90%,8.217482003007092,14.99568427759988,0.46980401442645,-59.76861511520164
63,3mo,0.95,95%,9.58236014132181,15.86116988220628,0.5315656753723788,-61.01678603632787
126,6mo,0.5,50%,7.222024569564289,11.095926526023455,0.5055693524048515,-33.20251422064997
126,6mo,0.55,55%,7.112580775912858,11.53405577944682,0.48181100050027287,-38.61903341494003
126,6mo,0.6,60%,6.585604218147245,12.003505032552777,0.4265058709466222,-45.910217055633915
126,6mo,0.65,65%,7.4424606820492345,12.374321933835544,0.4820990096049654,-41.7264869106988
126,6mo,0.7,70%,8.059823897147723,12.689707439284817,0.5184006257297926,-46.070286387545345
126,6mo,0.75,75%,9.591139362110802,13.089669739615447,0.6140171016537713,-41.801657663755904
126,6mo,0.8,80%,10.143685225131582,13.54620767801061,0.6350197523822555,-48.39780774545746
126,6mo,0.85,85%,11.100918056147592,14.124746882696279,0.6759602145533564,-45.06051118555755
126,6mo,0.9,90%,8.380989325139554,14.794713048807584,0.48437560026001336,-61.24307960728144
126,6mo,0.95,95%,8.9118578611467,15.522251085368238,0.5002984016630149,-62.20048709756932
189,9mo,0.5,50%,8.282784302385359,10.365751461488095,0.6286206697401421,-25.28022482421248
189,9mo,0.55,55%,8.584505351950412,10.681017725932202,0.6392226839533832,-23.027105555761608
189,9mo,0.6,60%,8.765515697537296,10.972059502267447,0.6403485417222046,-22.32731149483286
189,9mo,0.65,65%,8.02131999670317,11.672540740801137,0.5498879528620926,-27.768303825976005
189,9mo,0.7,70%,8.596372264956065,12.209829104452346,0.5744438252530254,-31.787902933125878
189,9mo,0.75,75%,7.656998752728139,12.835513883054567,0.48487047215756424,-41.90326682544482
189,9mo,0.8,80%,9.020909875383643,13.232487008967833,0.5694170129363223,-46.72033504142196
189,9mo,0.85,85%,9.525390015210554,13.657262570233833,0.5897013001737834,-43.07782381898599
189,9mo,0.9,90%,9.74583024951734,14.493965175674148,0.5777249370569644,-51.09664890671976
189,9mo,0.95,95%,10.083415277825502,15.231727738416101,0.5771285319849427,-56.35430949308803
252,1yr,0.5,50%,7.095150146313589,10.020484365207166,0.5366794144972493,-25.50504830307827
252,1yr,0.55,55%,8.662517969116102,10.399349233192954,0.660597017922376,-23.688574581165003
252,1yr,0.6,60%,9.126792413959638,10.7268110716893,0.683423996662925,-27.116652769732447
252,1yr,0.65,65%,9.261038268740784,11.153571189654826,0.6724839328816266,-24.778013461625534
252,1yr,0.7,70%,9.067034816609553,11.535937932760662,0.6385786868862142,-24.141434440198616
252,1yr,0.75,75%,9.753364417190724,12.277416039289239,0.6583226278644871,-27.77146521580307
252,1yr,0.8,80%,8.845401812109532,12.995111217104474,0.5650239789308833,-43.12991304026464
252,1yr,0.85,85%,10.50878911326356,13.501269848370304,0.6611892289901046,-46.720335041421926
252,1yr,0.9,90%,8.462317974920474,14.218114132436085,0.5034236099169866,-49.5360925422947
252,1yr,0.95,95%,8.92914571713539,15.137127341006531,0.5101693315618038,-60.01504723089243
315,15mo,0.5,50%,6.270044629466853,9.865938597567173,0.4651166590625716,-26.82350678101732
315,15mo,0.55,55%,7.157379236577732,10.163771087606346,0.5362627584469677,-24.781741441590835
315,15mo,0.6,60%,8.190346525290071,10.494502241703737,0.6140593649673538,-23.97470956193918
315,15mo,0.65,65%,9.29543164250175,10.974618539826796,0.684527121860132,-26.941933328821765
315,15mo,0.7,70%,10.286298753229328,11.276361062655662,0.7492621488321386,-26.28545809789431
315,15mo,0.75,75%,9.704063208437553,11.85333978557187,0.6737857251828923,-23.65381109304987
315,15mo,0.8,80%,9.107216630380144,12.662650508245582,0.5954663212698043,-26.153289289768228
315,15mo,0.85,85%,7.8786286610643685,13.461670143336043,0.4837595661038229,-45.080798211299694
315,15mo,0.9,90%,10.851836755532585,14.078466586962502,0.6617545994367072,-41.54280549186514
315,15mo,0.95,95%,8.809094698869302,15.189170225191537,0.5016934465585414,-56.180624096398326
378,18mo,0.5,50%,5.632335669051347,9.732225702357782,0.4083077057247873,-23.503644207713684
378,18mo,0.55,55%,6.885588111275176,10.06784235755784,0.5151788938194848,-24.796391589271213
378,18mo,0.6,60%,7.440827142172579,10.436212730795422,0.5502843437814575,-23.724658434692248
378,18mo,0.65,65%,8.99010196975112,10.806525675954648,0.667597278041974,-22.88991115098088
378,18mo,0.7,70%,7.890074817776838,11.33166816067568,0.552251411178108,-28.103814836190672
378,18mo,0.75,75%,9.60482449179354,11.835705506607505,0.6669594439994317,-22.823518833242197
378,18mo,0.8,80%,9.716355831643941,12.407932322092739,0.649985142265575,-24.02456198681641
