,MAE,RMSE,Median AE,Max Error,Std Error
SAMoVAR,1.5342417172288547,2.4797166616385153,0.8497295379638672,18.90765380859375,1.9486013648689537
AR3,1.21497212470263,2.0691514170235825,0.6972084045410156,17.29887390136719,1.6753124662036147
Naive (Yesterday),1.1825333631540986,2.038931665477389,0.6599998474121085,17.360000610351562,1.661407721506903
