Year,Total_Return,Volatility,Max_Drawdown,Sharpe_Ratio
2003,0.07434026800719407,0.09156176132217377,-0.021656430782909488,4.0054251316400755
2004,0.1123475498453903,0.10195857731323565,-0.06264378212902218,0.7106081676289698
2005,0.08050716224992294,0.0907032494461478,-0.0528936099165172,0.4665194230341033
2006,0.23386734147163257,0.07496511528804069,-0.027201419005429182,2.32974400705095
2007,0.4036095200667218,0.06498369425677482,-0.021423090188694083,4.670479220576525
2008,0.2126354184803232,0.13985650808347327,-0.1200018533409011,1.1627074859136353
2009,0.39707367242629155,0.20096595481957508,-0.1281342103587514,1.5695106370771716
2010,0.40267465403210645,0.12949385352575898,-0.07284627119697641,2.376452686084924
2011,0.30210925114842335,0.1127573631641035,-0.0611986434340999,2.0506345478436243
2012,0.1728390669282316,0.11297944859611635,-0.07666408413540889,1.1318772599086424
2013,0.3438208550182644,0.09508076580057803,-0.04017625418382997,2.7446795698527633
2014,0.31870517713984237,0.07225216444765581,-0.021894097840272624,3.3241489371952926
2015,0.20279569550393872,0.08995995377675901,-0.029920187274326902,1.6620382408987273
2016,0.291924385783783,0.08780493730414154,-0.033787689804185984,2.5154803823725334
2017,0.24055813363126455,0.05608559338310291,-0.019141957519809776,3.1889449037535855
2018,0.2582577385100382,0.06521475607259172,-0.021695545897655134,2.9692360879298794
2019,0.42181063415970543,0.09002820359235916,-0.04230825662611938,3.520950981323274
2020,0.5939382788242125,0.13511370517850993,-0.07713929471511241,3.217028605517664
2021,0.3454462639992837,0.1126865042320894,-0.03917617523585794,2.3427840159478084
2022,0.050684792477639906,0.16170104972351912,-0.12575618041936945,0.14469585148098643
2023,0.24929326617492897,0.12109367794832024,-0.0933651813622602,1.589933668898791
2024,0.32565227461450696,0.09204059215325691,-0.04446194725221447,2.6841535977440825
2025,0.3655671580886506,0.09478360231663216,-0.03149861641592558,3.044373750175374
