Regime,Total_Return,Volatility,Sharpe_Ratio,Max_Drawdown,Years,Trading_Days
Bull,92.16264638983675,0.10775473610877435,2.3018295860557454,-0.12813421035875136,17,4062
Bear,0.2740975930170326,0.1510439351805249,0.6175756715764728,-0.12575618041936967,2,504
Sideways,1.1292985077087692,0.09121894460639841,1.689717811277264,-0.06119864343410039,4,1007
