Year,Strategy,S&P_500,Bonds
2003,0.07434026800719407,0.0788940374447793,0.01870646423297062
2004,0.1123475498453903,0.1069796029107335,0.04119575297304223
2005,0.08050716224992294,0.048282669459152494,0.02638332727396464
2006,0.23386734147163257,0.15845221196268566,0.02516169691601844
2007,0.4036095200667218,0.051462087600208095,0.10378802009178156
2008,0.2126354184803232,-0.3679501836246827,0.17917362090537936
2009,0.39707367242629155,0.2635185826358253,-0.06593214797439861
2010,0.40267465403210645,0.15056130049251948,0.09359791273144258
2011,0.30210925114842335,0.018949766891123154,0.1564972158963993
2012,0.1728390669282316,0.1599037068533864,0.03664027737614295
2013,0.3438208550182644,0.32307816191761285,-0.060902307634505326
2014,0.31870517713984237,0.13463750936507735,0.0906812721650867
2015,0.20279569550393872,0.012342937428688305,0.015078131045564769
2016,0.291924385783783,0.11997892229596707,0.010016687729216267
2017,0.24055813363126455,0.21705369939663943,0.02552823286713024
2018,0.2582577385100382,-0.04568997542111841,0.00987780670756222
2019,0.42181063415970543,0.312238424414772,0.0802951230171125
2020,0.5939382788242125,0.1833165625324984,0.10006697628096739
2021,0.3454462639992837,0.2872875219509392,-0.03327794249899829
2022,0.050684792477639906,-0.181753596111346,-0.1515519365700736
2023,0.24929326617492897,0.2617579484884063,0.036444358524843734
2024,0.32565227461450696,0.2488644645312934,-0.0063423254557409825
2025,0.3655671580886506,0.17489482799331113,0.08121834503176095
